# gender | sg nom. | sg gen. | sg dat. | sg acc. | pl nom. | pl gen. | pl dat. | pl acc. | translations (comma-separated) | topics (comma-separated)
N | Hallo | Hallos | Hallo | Hallo | Hallos | Hallos | Hallos | Hallos | Hello,Привет | A1
F | Bitte | Bitte | Bitte | Bitte | Bitten | Bitten | Bitten | Bitten | Appeal,Please,Пожалуйста | A1,Приветствия/прощания/восклицания
F | Achtung | Achtung | Achtung | Achtung | Achtungen | Achtungen | Achtungen | Achtungen | Danger,Caution,Warning,Опасность,Attention,Caution,Внимание | A1,Приветствия/прощания/восклицания
F | Vorsicht | Vorsicht | Vorsicht | Vorsicht | - | - | - | - | Care,Caution,Danger,Attention,Осторожно | A1,Приветствия/прощания/восклицания
N | Tschüss | Tschüss | Tschüss | Tschüss | Tschüss | Tschüss | Tschüss | Tschüss | Bye,Пока (в разговорной) | A1,Приветствия/прощания/восклицания
F | Zeit | Zeit | Zeit | Zeit | Zeiten | Zeiten | Zeiten | Zeiten | Time,Period,Time duration,Age,Время | A1,Время
N | Datum | Datums | Datum | Datum | Daten | Daten | Daten | Daten | Дата,Число | A1,Время
N | Jahr | Jahres/Jahrs | Jahr/Jahre | Jahr | Jahre | Jahre | Jahren | Jahre | Год | A1,Время
M | Monat | Monates/Monats | Monat/Monate | Monat | Monate | Monate | Monaten | Monate | Месяц,Month | A1,Время
F | Woche | Woche | Woche | Woche | Wochen | Wochen | Wochen | Wochen | Week,Неделя | A1,Время
M | Tag | Tages/Tags | Tag/Tage | Tag | Tage | Tage | Tagen | Tage | Day,Period,Light,День | A1,Время
F | Stunde | Stunde | Stunde | Stunde | Stunden | Stunden | Stunden | Stunden | Час,Урок,Hour,Time,Lesson,Moment | A1,Время
F | Minute | Minute | Minute | Minute | Minuten | Minuten | Minuten | Minuten | Минута,Minute,Moment | A1,Время
F | Sekunde | Sekunde | Sekunde | Sekunde | Sekunden | Sekunden | Sekunden | Sekunden | Секунда,Second | A1,Время
M | Moment | Momentes/Moments | Moment/Momente | Moment | Momente | Momente | Momenten | Momente | Момент,Moment,Instant | A1,Время
M | Morgen | Morgens | Morgen | Morgen | Morgen | Morgen | Morgen | Morgen | Утро,Morning,Good morning,Dawn | A1,Время
M | Vormittag | Vormittags | Vormittag | Vormittag | Vormittage | Vormittage | Vormittagen | Vormittage | Первая половина дня,Morning,Forenoon | A1,Время
M | Mittag | Mittags | Mittag | Mittag | Mittage | Mittage | Mittagen | Mittage | Полдень,Noon,Lunch break | A1,Время
M | Nachmittag | Nachmittags | Nachmittag | Nachmittag | Nachmittage | Nachmittage | Nachmittagen | Nachmittage | Вторая половина дня,Afternoon | A1,Время
M | Abend | Abends | Abend | Abend | Abende | Abende | Abenden | Abende | Вечер,Evening | A1,Время
F | Nacht | Nacht | Nacht | Nacht | Nächte | Nächte | Nächten | Nächte | Ночь,Night | A1,Время
M | Wochentag | Wochentages/Wochentags | Wochentag/Wochentage | Wochentag | Wochentage | Wochentage | Wochentagen | Wochentage | День недели,Weekday | A1,Дни недели
M | Montag | Montages/Montags | Montag/Montage | Montag | Montage | Montage | Montagen | Montage | Понедельник,Monday | A1,Дни недели
M | Dienstag | Dienstages/Dienstags | Dienstag/Dienstage | Dienstag | Dienstage | Dienstage | Dienstagen | Dienstage | Вторник,Tuesday | A1,Дни недели
M | Mittwoch | Mittwoches/Mittwochs | Mittwoch/Mittwoche | Mittwoch | Mittwoche | Mittwoche | Mittwochen | Mittwoche | Среда,Wednesday | A1,Дни недели
M | Donnerstag | Donnerstages/Donnerstags | Donnerstag/Donnerstage | Donnerstag | Donnerstage | Donnerstage | Donnerstagen | Donnerstage | Четверг,Thursday | A1,Дни недели
M | Freitag | Freitages/Freitags | Freitag/Freitage | Freitag | Freitage | Freitage | Freitagen | Freitage | Пятница,Friday | A1,Дни недели
M | Samstag | Samstages | Samstag/Samstage | Samstag | Samstage | Samstage | Samstagen | Samstage | Суббота,Saturday | A1,Дни недели
M | Sonntag | Sonntags | Sonntag | Sonntag | Sonntage | Sonntage | Sonntagen | Sonntage | Воскресенье,Sunday | A1,Дни недели
N | Wochenende | Wochenendes | Wochenende | Wochenende | Wochenenden | Wochenenden | Wochenenden | Wochenenden | Выходные,Weekend | A1,Дни недели
F | Person | Person | Person | Person | Personen | Personen | Personen | Personen | Person,Character,Individual | A1
M | Frühling | Frühlings | Frühling | Frühling | Frühlinge | Frühlinge | Frühlingen | Frühlinge | Spring,Весна | A1,Времена года и месяца
M | Sommer | Sommers | Sommer | Sommer | Sommer | Sommer | Sommern | Sommer | Summer,Лето | A1,Времена года и месяца
M | Herbst | Herbstes/Herbsts | Herbst/Herbste | Herbst | Herbste | Herbste | Herbsten | Herbste | Autumn,Осень | A1,Времена года и месяца
M | Winter | Winters | Winter | Winter | Winter | Winter | Wintern | Winter | Winter,Зима | A1,Времена года и месяца
M | Januar | Januars/Januar | Januar | Januar | Januare | Januare | Januaren | Januare | January,Январь | A1,Времена года и месяца
M | Februar | Februars/Februar | Februar | Februar | Februare | Februare | Februaren | Februare | February,Февраль | A1,Времена года и месяца
M | März | Märzes/März | März/Märze | März | Märze | Märze | Märzen | Märze | March,Март | A1,Времена года и месяца
M | April | Aprils/April | April | April | Aprile | Aprile | Aprilen | Aprile | April,Апрель | A1,Времена года и месяца
M | Mai | Maies/Mais | Mai | Mai | - | - | - | - | May,Май | A1,Времена года и месяца
M | Juni | Junis | Juni | Juni | Junis | Junis | Junis | Junis | June,Июнь | A1,Времена года и месяца
M | Juli | Julis | Juli | Juli | Julis | Julis | Julis | Julis | July,Июль | A1,Времена года и месяца
M | August | Augustes/Augusts | August/Auguste | August | Auguste | Auguste | Augusten | Auguste | August,Август | A1,Времена года и месяца
M | September | Septembers/September | September | September | September | September | Septembern | September | September,Сентябрь | A1,Времена года и месяца
M | Oktober | Oktobers/Oktober | Oktober | Oktober | Oktober | Oktober | Oktobern | Oktober | October,Октябрь | A1,Времена года и месяца
M | November | Novembers/November | November | November | November | November | Novembern | November | November,Ноябрь | A1,Времена года и месяца
M | Dezember | Dezembers/Dezember | Dezember | Dezember | Dezember | Dezember | Dezembern | Dezember | December,Декабрь | A1,Времена года и месяца
F | Million | Million | Million | Million | Millionen | Millionen | Millionen | Millionen | Million,Миллион | A1,Цифры и числа
F | Milliarde | Milliarde | Milliarde | Milliarde | Milliarden | Milliarden | Milliarden | Milliarden | Billion,Миллиард | A1,Цифры и числа
M | Meter | Meters | Meter | Meter | Meter | Meter | Metern | Meter | Meter,Метр | A1,Меры длины и веса
M | Zentimeter | Zentimeters | Zentimeter | Zentimeter | Zentimeter | Zentimeter | Zentimetern | Zentimeter | Centimeter,Сантиметр | A1,Меры длины и веса
M | Quadratmeter | Quadratmeters | Quadratmeter | Quadratmeter | Quadratmeter | Quadratmeter | Quadratmetern | Quadratmeter | Square meter,Квадратный метр | A1,Меры длины и веса
N | Prozent | Prozentes/Prozents | Prozent/Prozente | Prozent | Prozente | Prozente | Prozenten | Prozente | Percent,Процент | A1,Меры длины и веса
N | Liter | Liters | Liter | Liter | Liter | Liter | Litern | Liter | Liter,Литр | A1,Меры длины и веса
N | Gramm | Gramms | Gramm | Gramm | Gramme | Gramme | Grammen | Gramme | Gram,Грамм | A1,Меры длины и веса
N | Kilogramm | Kilogramms | Kilogramm | Kilogramm | Kilogramm | Kilogramm | Kilogramm | Kilogramm | Kilogram,Килограм | A1,Меры длины и веса
N | Pfund | Pfundes/Pfunds | Pfund/Pfunde | Pfund | Pfunde | Pfunde | Pfunden | Pfunde | Pound,Фунт | A1,Меры длины и веса
F | Welt | Welt | Welt | Welt | Welten | Welten | Welten | Welten | World,Earth,Мир | A1,География
N | Land | Landes/Lands | Land/Lande | Land | Länder/Lande | Länder/Lande | Ländern/Landen | Länder/Lande | Land,Country,Nation,Страна | A1,География
F | Stadt | Stadt | Stadt | Stadt | Städte | Städte | Städten | Städte | City,Town,Город | A1,География
N | Dorf | Dorfes/Dorfs | Dorf/Dorfe | Dorf | Dörfer | Dörfer | Dörfern | Dörfer | Village,Деревня | A1,География
M | Platz | Platzes | Platz/Platze | Platz | Plätze | Plätze | Plätzen | Plätze | Место,Площадь,Town square,Room,Circus,Spot | A1,География
M | Ort | Ortes/Orts | Ort/Orte | Ort | Orte/Örter | Orte/Örter | Orten/Örtern | Orte/Örter | Место,Небольшой городок,Site,Spot,Place,Town,Settlement | География,A1
F | Straße | Straße | Straße | Straße | Straßen | Straßen | Straßen | Straßen | Улица,Road,Street,Highway,Forest road | A1,География
M | Anfang | Anfanges/Anfangs | Anfang/Anfange | Anfang | Anfänge | Anfänge | Anfängen | Anfänge | Начало,Start,Onset,Origin,Initial | A1,География
F | Mitte | Mitte | Mitte | Mitte | Mitten | Mitten | Mitten | Mitten | Середина,Centre,Middle,Medium | A1,География
N | Ende | Endes | Ende | Ende | Enden | Enden | Enden | Enden | Конец,End,Ending,Close,Finish,Conclusion | A1,География
