# Infinitive | Regularity | Pres conj ich | Pres conj du | Pres conj er/sie/es | Pres conj wir | Pres conj ihr | Pres conj sie | Translations (comma-separated) | Topics (comma-separated)
danken | False | dank(e) | dankst | dankt | danken | dankt | danken | Thanking,Благодарю,Спасибо | A1,Приветствия/прощания/восклицания
dauern | False | dauere | dauerst | dauert | dauern | dauert | dauern | длиться,last,take time | A1,Время
enden | False | ende | endest | endet | ednen | endet | enden | заканчивать,оканчивать | A1,Время
anfangen | False | fange an | fängst an | fängt an | fangen an | fangt an | fangen an | начинать,начинаться,begin,start,become,get started,introduce | A1,Время
haben | False | habe | hast | hat | haben | habt | haben | иметь,have,has,have to,must,feel | A1,Modal verbs
sein | False | bin | bist | ist | sind | seid | sind | быть,be,stay,exist,been | A1,Modal verbs
werden | False | werde | wirst | wird | werden | werdet | werden | становиться,will,become,get,going to,grow | A1,Modal verbs
können | False | kann | kannst | kann | können | könnt | können | мочь,уметь,can,be able,may,know | A1,Modal verbs
wollen | False | will | willst | will | wollen | wollt | wollen | хотеть,want,wish,claim,come on (to) | A1,Modal verbs
möchten | False | möchte | möchtest | möchte | möchten | möchtet | möchten | хотеть (вежл.),wish,want | A1,Modal verbs
dürfen | False | darf | darfst | darf | dürfen | dürft | dürfen | мочь,иметь право,разрешение,may,for allowance,be allowed to | A1,Modal verbs
müssen | False | muss | musst | muss | müssen | müsst | müssen | быть должным,обязанным,have to,must,need to | A1,Modal verbs
sollen | False | soll | sollst | soll | sollen | sollt | sollen | быть должным,иметь приказ,supposed to,must,should have,should | A1,Modal verbs
heißen | False | heiße | heißt | heißt | heißen | heißt | heißen | зваться,называться | A1,Modal verbs
brauchen | False | brauche | brauchst | braucht | brauchen | braucht | brauchen | нуждаться,require,need,use,spend,take,consume | A1,Modal verbs
bekommen | False | bekomme | bekommst/bekömmst | bekommt/bekömmt | bekommen | bekommt | bekommen | получать,receive,get | A1,Modal verbs
kriegen | False | kriege | kriegst | kriegt | kriegen | kriegt | kriegen | воевать,получать (разг.),get,catch,wage war,make war,get though | A1,Modal verbs
gehören | False | gehöre | gehörst | gehört | gehören | gehört | gehören | принадлежать,belong,rank,fall (under) | A1,Modal verbs
schlafen | False | schlafe | schläfst | schläft | schlafen | schlaft | schlafen | спать,sleep,stay over night | A1,Глаголы движения/положения/состояния
stehen | False | stehe | stehst | steht | stehen | steht | stehen | стоять,stand,stand still,stand for,become | A1,Глаголы движения/положения/состояния
aufstehen | False | stehe | stehst | steht | stehen | steht | stehen | вставать,get up,rise,stand up | A1,Глаголы движения/положения/состояния
liegen | False | liege | liegst | liegt | liegen | liegt | liegen | лежать,lie,sit,stand | A1,Глаголы движения/положения/состояния
sitzen | False | sitze | sitzt | sitzt | sitzen | sitzt | sitzen | сидеть,sit,fit,be seated | A1,Глаголы движения/положения/состояния
gehen | False | gehe | gehst | geht | gehen | geht | gehen | идти,go,walk,leave | A1,Глаголы движения/положения/состояния
laufen | False | laufe | läufst | läuft | laufen | lauft | laufen | бежать,run,walk,race,be in process | A1,Глаголы движения/положения/состояния
fahren | False | fahre | fährst | fährt | fahren | fahrt | fahren | ехать,drive,ride,pedal | A1,Глаголы движения/положения/состояния
fliegen | False | fliege | fliegst | fliegt | fliegen | fliegt | fliegen | летать,fly,aviate | A1,Глаголы движения/положения/состояния
kommen | False | komme | kommst/kömmst | kommt/kömmt | kommen | kommt | kommen | приходить,come,arrive,return,advance,take place | A1,Глаголы движения/положения/состояния
tanzen | False | tanze | tanzt | tanzt | tanzen | tanzt | tanzen | танцевать,dance | Глаголы движения/положения/состояния,A1
spielen | False | spiele | spielst | spielt | spielen | spielt | spielen | играть,play | A1,Глаголы движения/положения/состояния
scheinen | False | scheine | schenst | scheint | scheinen | scheint | scheinen | shine,seem,pierce,светить (о солнце) | A1,Природа
regnen | False | regne | regnest | regnet | regnen | regnet | regnen | rain,идет дождь | A1,Природа
vorstellen | False | stelle vor | stellst vor | stellt vor | stellen vor | stellt vor | stellen vor | imagine,introduce,present,propose,represent,представлять(ся) | A1,Соц. контакты
sagen | False | sage | sagst | sagt | sagen | sagt | sagen | say something,sat,tell,сказать,говорить | A1,Соц. контакты
sprechen | False | spreche | sprichst | spricht | sprechen | sprecht | sprechen | talk,speak,говорить,беседовать | A1,Соц. контакты
fragen | False | frage | fragst | fragt | fragen | fragt | fragen | спрашивать,ask,ask for,inquire,request | A1,Соц. контакты
antworten | False | antworte | antwortest | antwortet | antworten | antwortet | antworten | answer,reply to,отвечать | A1,Соц. контакты
erzählen | False | erzähle | erzählst | erzählt | erzählen | erzählt | erzählen | narrate,tell,talk,рассказывать | A1,Соц. контакты
bitten | False | bitte | bittest | bittet | bitten | bittet | bitten | request,please,ask,beg,appeal,просить | A1,Соц. контакты
danken | False | danke | dankst | dankt | danken | dankt | danken | thank,thanking,decline,благодарить | A1,Соц. контакты
entschuldigen | False | entschuldige | entschuldigst | entschuldigt | entschuldigen | entschuldigt | entschuldigen | apologise,excuse,forgive,извинять(ся) | A1,Соц. контакты
helfen | False | helfe | hilfst | hilft | helfen | helft | helfen | help,aid (in),assist (in),помогать | A1,Соц. контакты
anrufen | False | rufe an | rufst an | ruft an | rufen an | ruft an | rufen an | call,challenge,appeal,invoke,give a call,звонить по телефону | A1,Тел. разговор
telefonieren | False | telefoniere | telefonierst | telefoniert | telefonieren | telefoniert | telefonieren | ring,call,use phone,говорить по телефону | A1,Тел. разговор
wiederholen | False | hole wieder | holst wieder | holt wieder | holen wieder | holt wieder | holen wieder | repeat,restate,повторять | A1,Тел. разговор
verstehen | False | verstehe | verstehst | versteht | verstehen | versteht | verstehen | понимать,understand | A1,Тел. разговор
buchstabieren | False | buchstabiere | buchstabierst | buchstabiert | buchstabieren | buchstabiert | buchstabieren | диктовать по буквам,spell,spell out | A1,Тел. разговор
hören | False | höre | hörst | hört | hören | hört | hören | слышать,listen,hearing,hear,obey | A1,Чувства и эмоции
sehen | False | sehe | siehst | sieht | sehen | seht | sehen | смотреть,видеть,view,watch,look,see | A1,Чувства и эмоции
schmecken | False | schmecke | schmeckst | schmeckt | schmecken | schmeckt | schmecken | taste,smack,smell,be (to) liking,чувствовать вкус,быть на вкус | A1,Чувства и эмоции
riechen | False | rieche | riechst | riecht | riechen | riecht | riechen | smell,stink,reek,sniff,чувствовать запах,пахнуть | A1,Чувства и эмоции
freuen | False | freue | freust | freut | freuen | freut | freuen | be glad,make happy,be happy,радовать(ся) | A1,Чувства и эмоции
lachen | False | lache | lachst | lacht | lachen | lacht | lachen | chuckle,laugh,giggle,смеяться | A1,Чувства и эмоции
gefallen | False | gefalle | gefällst | gefällt | gefallen | gefallt | gefallen | enjoy,like,be pleasing,delight,нравиться | A1,Чувства и эмоции
mögen | False | mag | magst | mag | mögen | mögt | mögen | like,would love to,enjoy,want,испытывать симпатию,любить (неодуш. вещи) | A1,Чувства и эмоции
lieben | False | liebe | liebst | liebt | lieben | liebt | lieben | love,make love (to),affect,cherish,любить | A1,Чувства и эмоции
glauben | False | glaube | glaubst | glaubt | glauben | glaubt | glauben | верить,считать,иметь мнение,think,have faith,trust in,believe | A1,Чувства и эмоции
heiraten | False | heirate | heiratest | heiratet | heiraten | heiratet | heiraten | marry,get married,жениться,выходить замуж | A1,Семья
kümmern | False | kümmere | kümmerst | kümmert | kümmern | kümmert | kümmern | take care of,look after,заботиться,позаботиться | A1,Семья
kennen | False | kenne | kennst | kennt | kennen | kennt | kennen | знать,быть знакомым,know,be acquainted with | A1,Друзья и знакомые
kennenlernen | False | lerne kennen | lernst kennen | lernt kennen | lernen kennen | lernt kennen | lernen kennen | become acquainted (with),get to know,знакомиться | A1,Друзья и знакомые
treffen | False | treffe | triffst | trifft | treffen | trefft | treffen | meet with,encounter,meet,affect,всречать(ся) | A1,Друзья и знакомые
warten | False | warte | wartest | wartet | warten | wartet | warten | wait,maintain,watch (for),wait (for),ждать | A1,Друзья и знакомые
besuchen | False | besuche | besuchst | besucht | besuchen | besucht | besuchen | attend,see,visit,call on,go to,посещать (обычно человека) | A1,Друзья и знакомые
